Image URL,Pixel dimensions,File size (KB),Web page locations
"/assets/6864d28d6d224cfc617cfc39_0b76b173af6046e3baff3b231d198b2e_arrow-right-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/assets/68695011fff14c231d733695_18e4deb9ce7150d6021fead5b7f630a7_arrow-bottom-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/assets/68761dfb6d400a6cc38ce421_blog-post-5.webp","3700 x 1900","248.8","Not directly referenced in generated HTML"
"/assets/68761ea1da6c070f5de9f9b1_blog-post-3.webp","3700 x 1900","162.4","Not directly referenced in generated HTML"
"/assets/68761ef1d4364172cee2ec96_blog-post-2.webp","3700 x 1900","228.8","Not directly referenced in generated HTML"
"/assets/6877841c106d359778209e34_thomas-reid.webp","2000 x 2000","81.8","Not directly referenced in generated HTML"
"/assets/6877841d106d359778209e56_laura-bennett.webp","2000 x 2000","157.5","Not directly referenced in generated HTML"
"/assets/6877841d342c1be1a06717d1_emily-sanders.webp","2000 x 2000","466.0","Not directly referenced in generated HTML"
"/assets/6877841d5571d30752f74441_daniel-harper.webp","2000 x 2000","276.3","Not directly referenced in generated HTML"
"/assets/6877841d6776098fc68a9be8_james-carter.webp","2000 x 2000","176.1","Not directly referenced in generated HTML"
"/assets/aurion.svg","70 x 40 (SVG)","0.9","Not directly referenced in generated HTML"
"/assets/blog-post-4.webp","3700 x 1900","110.0","Not directly referenced in generated HTML"
"/assets/blog-post-5.webp","3700 x 1900","248.8","Not directly referenced in generated HTML"
"/assets/blog-post-6.webp","3700 x 1900","225.3","Not directly referenced in generated HTML"
"/assets/brands/aurion.svg","70 x 40 (SVG)","0.9","/ | /home-original/"
"/assets/brands/velox.svg","49 x 40 (SVG)","0.9","/ | /home-original/"
"/assets/calendar-icon.svg","24 x 24 (SVG)","0.5","Not directly referenced in generated HTML"
"/assets/car-icon.svg","24 x 24 (SVG)","0.5","Not directly referenced in generated HTML"
"/assets/dollar-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/assets/glide-vortex.webp","3700 x 1900","189.4","Not directly referenced in generated HTML"
"/assets/home-hero-mobile.webp","2640 x 2160","267.0","/ | /home-original/"
"/assets/home-hero.webp","3840 x 2160","296.2","/ | /home-original/"
"/assets/home/benefits/calendar.svg","24 x 24 (SVG)","0.5","/ | /home-original/"
"/assets/home/benefits/price.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/home/benefits/service.svg","24 x 24 (SVG)","0.4","/ | /home-original/"
"/assets/home/benefits/vehicle.svg","24 x 24 (SVG)","0.5","/ | /home-original/"
"/assets/home/journal/maintenance-guide.webp","3700 x 1900","162.4","/ | /home-original/"
"/assets/home/journal/racing-event.webp","3700 x 1900","228.8","/ | /home-original/"
"/assets/home/journal/showroom-guide.webp","3700 x 1900","248.8","/ | /home-original/"
"/assets/home/models/glide-vortex.webp","3700 x 1900","189.4","/ | /home-original/"
"/assets/home/models/rapt-horizon.webp","3700 x 1900","319.7","/ | /home-original/"
"/assets/home/models/velocit-crest.webp","3700 x 1900","164.8","/ | /home-original/"
"/assets/home/models/xplorer-glide.webp","3700 x 1900","87.4","/ | /home-original/"
"/assets/home/steps/enquiry.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/home/steps/key.svg","24 x 24 (SVG)","0.5","/ | /home-original/"
"/assets/home/steps/search.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/home/steps/vehicle.svg","24 x 24 (SVG)","0.5","/ | /home-original/"
"/assets/home/testimonials/daniel-harper.webp","2000 x 2000","276.3","/ | /home-original/"
"/assets/home/testimonials/emily-sanders.webp","2000 x 2000","466.0","/ | /home-original/"
"/assets/home/testimonials/james-carter.webp","2000 x 2000","176.1","/ | /home-original/"
"/assets/home/testimonials/laura-bennett.webp","2000 x 2000","157.5","/ | /home-original/"
"/assets/home/testimonials/michael-brooks.webp","2000 x 2000","40.1","/ | /home-original/"
"/assets/home/testimonials/thomas-reid.webp","2000 x 2000","81.8","/ | /home-original/"
"/assets/key-icon.svg","24 x 24 (SVG)","0.5","Not directly referenced in generated HTML"
"/assets/logo.svg","350 x 138 (SVG)","3.8","/ | /360deg-camera.html/ | /404.html | /about.html/ | /aurion.html/ | /blog-2.html/ | /blog.html/ | /bluetooth.html/ | /built-in-gps.html/ | /cest-tunder.html/ | /changelog.html/ | /contact.html/ | /coupe.html/ | /events.html/ | /exclusive-rydex-car-show-in-dubai-unveiled.html/ | /glide-vortex.html/ | /guide-to-choose-the-right-car-in-a-showroom.html/ | /guides-for-maintaining-your-rental-car-perfectly.html/ | /guides.html/ | /home-original/ | /leather-seats.html/ | /led-headlights.html/ | /licenses.html/ | /luxora.html/ | /models-2.html/ | /models.html/ | /models/ | /rapt-horizon.html/ | /reviews.html/ | /rydex-hosts-annual-auto-racing-grand-event.html/ | /search/ | /sedan.html/ | /senity-pulse.html/ | /sound-system.html/ | /style-guide.html/ | /sumit-senity.html/ | /sunroof-6rm2o-xlnu2.html/ | /suv.html/ | /the-best-sedan-models-that-fit-road-trips.html/ | /top-luxury-cars-to-rent-this-summer-season.html/ | /ultimate-guide-to-choosing-coupe-rentals.html/ | /velocit-crest.html/ | /velox.html/ | /xplorer-glide.html/"
"/assets/mail-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/assets/rapt-horizon.webp","3700 x 1900","319.7","Not directly referenced in generated HTML"
"/assets/search-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/assets/shared/brand-logo.svg","350 x 138 (SVG)","3.8","/ | /home-original/"
"/assets/shared/icons/arrow-down.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/shared/icons/arrow-right-alternate.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/shared/icons/arrow-right.svg","24 x 24 (SVG)","0.3","/ | /home-original/"
"/assets/velocity-crest.webp","3700 x 1900","164.8","Not directly referenced in generated HTML"
"/assets/velox.svg","49 x 40 (SVG)","0.9","Not directly referenced in generated HTML"
"/assets/wrench-icon.svg","24 x 24 (SVG)","0.4","Not directly referenced in generated HTML"
"/assets/xplorer-glide.webp","3700 x 1900","87.4","Not directly referenced in generated HTML"
"/static/image/6863c31c858fd885f509661a_ff0b876f91a11c59842f17cb785c89af_search-icon.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
"/static/image/6886135e186bbdce6c78c1d8_location-icon.svg","24 x 24 (SVG)","0.4","Not directly referenced in generated HTML"
"/static/image/68930c5b674559eba8718e04_e9ee6012e4fd1a5708ca698df18131a6_search-icon-3.svg","28 x 28 (SVG)","0.5","Not directly referenced in generated HTML"
"/static/picture/6863a7d749380244400cadf0_ec84ea29b2cc7723b4b9b2449bd3b59c_logo.svg","350 x 138 (SVG)","3.8","/360deg-camera.html/ | /about.html/ | /aurion.html/ | /blog-2.html/ | /blog.html/ | /bluetooth.html/ | /built-in-gps.html/ | /cest-tunder.html/ | /changelog.html/ | /contact.html/ | /coupe.html/ | /events.html/ | /exclusive-rydex-car-show-in-dubai-unveiled.html/ | /glide-vortex.html/ | /guide-to-choose-the-right-car-in-a-showroom.html/ | /guides-for-maintaining-your-rental-car-perfectly.html/ | /guides.html/ | /leather-seats.html/ | /led-headlights.html/ | /licenses.html/ | /luxora.html/ | /models-2.html/ | /models.html/ | /models/ | /rapt-horizon.html/ | /reviews.html/ | /rydex-hosts-annual-auto-racing-grand-event.html/ | /search/ | /sedan.html/ | /senity-pulse.html/ | /sound-system.html/ | /style-guide.html/ | /sumit-senity.html/ | /sunroof-6rm2o-xlnu2.html/ | /suv.html/ | /the-best-sedan-models-that-fit-road-trips.html/ | /top-luxury-cars-to-rent-this-summer-season.html/ | /ultimate-guide-to-choosing-coupe-rentals.html/ | /velocit-crest.html/ | /velox.html/ | /xplorer-glide.html/"
"/static/picture/6864d28d6d224cfc617cfc39_0b76b173af6046e3baff3b231d198b2e_arrow-right-icon.svg","24 x 24 (SVG)","0.3","/360deg-camera.html/ | /about.html/ | /aurion.html/ | /blog-2.html/ | /blog.html/ | /bluetooth.html/ | /built-in-gps.html/ | /cest-tunder.html/ | /changelog.html/ | /contact.html/ | /coupe.html/ | /events.html/ | /exclusive-rydex-car-show-in-dubai-unveiled.html/ | /glide-vortex.html/ | /guide-to-choose-the-right-car-in-a-showroom.html/ | /guides-for-maintaining-your-rental-car-perfectly.html/ | /guides.html/ | /leather-seats.html/ | /led-headlights.html/ | /licenses.html/ | /luxora.html/ | /models-2.html/ | /models.html/ | /models/ | /rapt-horizon.html/ | /reviews.html/ | /rydex-hosts-annual-auto-racing-grand-event.html/ | /search/ | /sedan.html/ | /senity-pulse.html/ | /sound-system.html/ | /style-guide.html/ | /sumit-senity.html/ | /sunroof-6rm2o-xlnu2.html/ | /suv.html/ | /the-best-sedan-models-that-fit-road-trips.html/ | /top-luxury-cars-to-rent-this-summer-season.html/ | /ultimate-guide-to-choosing-coupe-rentals.html/ | /velocit-crest.html/ | /velox.html/ | /xplorer-glide.html/"
"/static/picture/6867580e8c3ea59bc8be0567_c37a5846c76d515300a0ec5a573c45fd_home-hero-image.webp","3840 x 2160","128.0","Not directly referenced in generated HTML"
"/static/picture/6867dee03e172481e1f00bf9_arrow-right-icon-2.svg","24 x 24 (SVG)","0.3","Not directly referenced in generated HTML"
